Accuracy,Precision,Recall,F1-score
0.7954545454545454,1.0,0.0,0.0
0.803030303030303,1.0,0.037037037037037035,0.07142857142857142
0.7954545454545454,1.0,0.0,0.0
0.7954545454545454,1.0,0.0,0.0
0.7954545454545454,1.0,0.0,0.0
0.7954545454545454,1.0,0.0,0.0
0.7954545454545454,1.0,0.0,0.0
0.7954545454545454,1.0,0.0,0.0
0.7954545454545454,1.0,0.0,0.0
0.7954545454545454,1.0,0.0,0.0
0.7954545454545454,1.0,0.0,0.0
0.7954545454545454,1.0,0.0,0.0
0.7954545454545454,1.0,0.0,0.0
0.7954545454545454,1.0,0.0,0.0
0.7954545454545454,1.0,0.0,0.0
0.7954545454545454,1.0,0.0,0.0
0.7954545454545454,1.0,0.0,0.0
0.7954545454545454,1.0,0.0,0.0
0.803030303030303,1.0,0.037037037037037035,0.07142857142857142
0.7954545454545454,1.0,0.0,0.0
0.7954545454545454,1.0,0.0,0.0
0.7954545454545454,1.0,0.0,0.0
0.7954545454545454,1.0,0.0,0.0
0.7954545454545454,1.0,0.0,0.0
0.7954545454545454,1.0,0.0,0.0
0.7954545454545454,1.0,0.0,0.0
0.7954545454545454,1.0,0.0,0.0
0.7954545454545454,1.0,0.0,0.0
0.7954545454545454,1.0,0.0,0.0
0.7954545454545454,1.0,0.0,0.0
