Accuracy,Precision,Recall,F1-score
0.8114478114478114,1.0,0.0,0.0
0.8148148148148148,1.0,0.017857142857142856,0.03508771929824561
0.8114478114478114,1.0,0.0,0.0
0.8148148148148148,1.0,0.017857142857142856,0.03508771929824561
0.8148148148148148,1.0,0.017857142857142856,0.03508771929824561
0.8114478114478114,1.0,0.0,0.0
0.8114478114478114,1.0,0.0,0.0
0.8114478114478114,1.0,0.0,0.0
0.8114478114478114,1.0,0.0,0.0
0.8148148148148148,1.0,0.017857142857142856,0.03508771929824561
0.8148148148148148,1.0,0.017857142857142856,0.03508771929824561
0.8148148148148148,1.0,0.017857142857142856,0.03508771929824561
0.8114478114478114,1.0,0.0,0.0
0.8114478114478114,1.0,0.0,0.0
0.8114478114478114,1.0,0.0,0.0
0.8114478114478114,1.0,0.0,0.0
0.8148148148148148,1.0,0.017857142857142856,0.03508771929824561
0.8114478114478114,1.0,0.0,0.0
0.8114478114478114,1.0,0.0,0.0
0.8114478114478114,1.0,0.0,0.0
0.8114478114478114,1.0,0.0,0.0
0.8148148148148148,1.0,0.017857142857142856,0.03508771929824561
0.8114478114478114,1.0,0.0,0.0
0.8148148148148148,1.0,0.017857142857142856,0.03508771929824561
0.8181818181818182,1.0,0.03571428571428571,0.06896551724137931
0.8148148148148148,1.0,0.017857142857142856,0.03508771929824561
0.8148148148148148,1.0,0.017857142857142856,0.03508771929824561
0.8148148148148148,1.0,0.017857142857142856,0.03508771929824561
0.8148148148148148,1.0,0.017857142857142856,0.03508771929824561
0.8148148148148148,1.0,0.017857142857142856,0.03508771929824561
